work_id	expression_id
"1bcb194a-5c17-4c99-b8e1-2301f573453e"	"6abe3d9d-8c81-4621-b1f8-63d4230682a0"
"5e300799-e1af-4138-99fa-01437bb3bbc8"	"c46e8511-3898-4cef-9419-262c8f26dfcf"
"1a4b984b-6522-4aa7-bb4c-e7b1544ba8e8"	"dc2dea3b-d654-49dc-81d5-c8f05910468d"
"e142010f-65fa-4031-ba86-297a81e5b289"	"ce23805f-8377-4911-9e5f-d99822b25b27"
"105a6af2-b859-48f6-91ac-b447570a50fe"	"39c6b541-2e20-4f8e-896d-4b3d33f66790"
"1ce799fe-77a8-40f6-bdec-7ec09d9a234a"	"768227fe-553d-4b90-9d3a-812f5d08addc"
"ca6a6730-8ed6-4727-b6aa-593df79ae555"	"77b17d36-da4e-4e74-a93e-751a0dfcada9"
"4a27c52f-cbef-4f3c-93f9-b8742d92dfc2"	"bbcc4591-2583-4dc3-8cab-e62038022335"
"0de2de06-d60e-49c0-8e94-3e3d322079cf"	"67cf50eb-cd2b-47d6-8aa1-b10966794205"
"36c5b47a-eb8b-475f-ad1b-013cb421aef3"	"8fad081b-0765-4ab5-b2f8-f29de1445f1c"
"67c19404-3da2-4566-aebb-290ff3951afb"	"076d4c9e-edfb-4bcd-af63-ce7280736aa8"
"efb0d930-9edd-4f65-af3e-af7c3104d8a5"	"df9551b3-4e1e-4658-9ba5-5cb4d1018b7d"
"71b72a7e-dfeb-498e-8576-04c8a85a8c11"	"c9f15763-67a6-4a0c-8b43-912fb3fefa6a"
"89925e1b-5686-4a83-aceb-1ce32d9af331"	"8398b475-2c5b-4a46-9f99-26285b7ad451"
"b012e098-cd00-4f37-9bca-ed00d6575175"	"8ce91e54-b6ca-45cf-8f79-72333e745e1e"
"bd9be5ef-51e6-48b7-9f02-ae81207225b3"	"428d6b55-aa2d-4aee-9895-63d9a34b97d8"
"78fb2ec3-127e-4a8e-84b9-ff2125841576"	"bd9f93b3-fdd9-4434-b2d2-c11bd470d4f0"
"7ad49e83-4b98-4679-9e34-32166e7d4a81"	"7746743f-4ac1-43be-b985-87ba2f3e385a"
"c5ce970c-63c7-4dde-a363-2b788bef6a64"	"a56b4617-7823-41c1-ac2f-9530c6cabd62"
"29b3b200-1191-496a-8860-61bb2e036bb4"	"c6b33f3d-cd86-439c-9d5c-f034132a13e7"
"6fee332c-d960-439a-a56d-7f393e5dbfed"	"0d57e875-3d30-4c90-af2d-0a396cc7ffbd"
"3c309816-4a62-4b4d-b0f9-0598b38409ad"	"b0c8814c-01d2-4b51-b034-75ea6cc487da"
"16523125-a95b-46b4-ab95-07be49be3ae5"	"f88d6184-f39d-4064-811c-ebd0f9dd9370"
"bc603f30-02ee-4aee-8aed-0f2ad516d562"	"97999d9b-e0bd-4d9f-a786-883f90ab84c9"
"ce7649b1-b911-4776-a131-11bd7f330913"	"54be67ea-d811-4807-97a6-7a8b1c44ad4f"
"ac439b67-3724-40c9-98eb-afb52b3e2ea5"	"c24bf90b-aff1-4a25-b724-7153760cee8b"
"93091da9-c7bc-4e2c-ba86-4a17d575fac4"	"b0b3511f-1eec-449a-a6be-260ca54b7ac7"
"04ea3319-a7cb-4d6b-ac80-66e983aaa016"	"0688e362-4e69-47d2-b3fb-da86430d6a62"
"e61fd909-55bb-4d5e-94bb-3c60c774a00a"	"a38b9bef-4ad9-4568-b9b0-acf745b965f7"
"ae0e1c8f-7464-4f04-9b3c-3b165c67d8f9"	"885df60b-b633-4bf5-a785-9b46c4ea8845"
"2a00e716-8156-4fc5-95bb-802cb4d011cd"	"114aeaff-2d8b-40ce-a846-816a1c20ffc2"
"cdda843b-6598-4926-b63d-4abdb0c7ddb4"	"cc81d319-6354-4bc4-846b-69812452e6c3"
"e18c5575-1ce2-433e-b191-a4121115940c"	"01704c9e-262b-4b57-8997-1f1664e6ca0e"
"4e26e3dc-72b6-45b4-908c-a4fa1ef78115"	"ca31ca82-cdcc-46bc-b5db-15ed501414e3"
"2a86e454-3e1b-4ffd-824d-efce8281d423"	"48c99095-8a07-4690-bd51-5d8ea3dc8c7f"
"3a5bad91-831a-4b67-af00-3d968d4d6260"	"978759e2-e64b-4623-8837-8e3339afa428"
"20288772-f1bf-48a7-a890-649c2b8db373"	"533c4863-fb72-4b26-83d4-0951042b4fd3"
"54fbd465-71eb-4e4b-a360-9a7f0348bedb"	"0e98dd31-6c8c-43e6-a10f-295274d9d471"
"0b635337-c061-4c59-b4ac-79e07849445f"	"9fc19fa1-02ba-48d0-84b5-381b28479d2a"
"199e4abb-6b41-497a-a767-dec3ca587db7"	"b5a6f6cc-a53e-48d3-87db-eeaae026873a"
"bcfa2711-8cf6-449b-acaf-bb3ddd1362c2"	"5d8ba4de-fd2f-4401-9f2a-4dd66192181e"
"9065a805-268c-49db-8471-d4f3e6ac4297"	"5c1ae9e1-dd4f-4f96-90d6-4364ab28d39e"
"d0899ad4-2da4-45f9-97e4-36d48173bd93"	"3d51115d-ab68-4fe4-8c2d-ed352c711a76"
"02e5bda8-b59f-402f-bce5-83338825c615"	"3a994ca5-585d-44ca-b6ae-471f57af7924"
"b0b4a1d5-669e-4173-bc2b-a1cdea1f102e"	"021d285f-402c-425c-923d-95fd6b39a8ad"
"3244d79f-dc4d-46a1-98d4-3b4afcfd3c25"	"5a5999dc-8ab9-4d47-9568-cbb088312ab4"
"cb5bf179-2726-4635-a886-65f9fe008ce6"	"b68b712f-33ba-47ba-a9a0-7433fffb1395"
"669b4c04-57e7-4b71-a20b-c92b4e9c4a83"	"29c18c75-9ef5-4eee-8e3d-4131b7b3a57a"
"9e96f54b-7f15-43f8-9bed-6ed00496ed10"	"6f55530d-31c3-4531-9813-ff71dd403aa4"
"e2c03541-d3ce-49e4-bd07-a60eab4cdb23"	"40089298-e511-4683-98df-0a8dc39fae57"
"94bd32d9-aca4-4ff2-9641-46e7b618ee75"	"6238539f-1bc2-4201-b838-b703cafbd7c9"
"c77a503d-cfab-475c-ac4f-2627d2daf0bd"	"d9607d39-6f4f-4cce-b830-74f6cfbdbf60"
"d1073cc2-712f-4620-8107-487d180be7f8"	"16127409-02b0-4751-87c2-4add1fb18ac6"
"6e08858a-3b42-4d7f-85a6-782a17906280"	"e5b71f29-ca24-4b59-8bdc-71282caca458"
"32dfeea1-7a33-46d4-bcce-9b06d1ae9c7d"	"cbabaf87-90e5-4a26-b0c5-f24ca0be65ac"
"f46eba1c-e128-405a-8ede-350b145b54b2"	"b24179b8-dbf3-4e2a-95ae-00fb4aff3852"
"b7921e64-98a0-45bb-8c6c-9f32a5a1d3d7"	"4047a683-9174-4231-9a9a-c1c77850d026"
"4ea49b1a-736e-4cfa-9e31-86fef7909082"	"7fc641aa-68da-40ab-a111-f7dbf6ce2585"
"a7e9cade-761e-4c90-b4bf-2039195a9f2b"	"1294e415-1354-4533-a956-a60797144a05"
"b8e87e41-2773-4f02-b2ee-9dbf134ddb1d"	"0a8f9826-a2a9-491a-b928-042bd291ce8b"
"a237c8c8-8b3b-483a-8a57-59137d1decf9"	"c0fe73b7-029f-467d-9504-884a77b6e529"
"f205c2b5-6d8e-4fe5-9970-1941e0a1d989"	"1f50e944-f179-4f72-a887-842d4b64d2c4"
"d305681a-29ae-493a-b1ee-d290a0b8ee83"	"537a8509-8daa-4026-a496-5741786f7f59"
"b943f8ab-d528-4336-8d74-dd9660160756"	"512083d0-9ad1-4b52-9f10-ae56efead131"
"f4d98eea-5976-4d82-9b2c-2cb5abc4634e"	"1dd4c371-80a1-42c6-9024-64f91f740fe2"
"fa7f5652-267b-400c-bd0c-e12ec69cb954"	"e3dc658b-70a5-4083-944b-e2216a8727b5"
"40c72191-4e2f-4b0b-9e55-4c63764d1f87"	"77cd0b68-390f-4c56-b8b0-50b3380eef99"
"5d7ea7ae-b7ba-4242-b179-e3bb7e106a61"	"db5a7006-e665-481e-9088-c6bcc65f3376"
"eff75795-b704-4344-a00c-d6752e6b048c"	"3fdd7995-0b27-4320-ada6-de6b7eef5d2e"
"9038575d-6104-4ec3-a79f-a9b9950f24a3"	"b432632e-55e1-49c5-b5a2-94bd3382674f"
"d1d985ba-78c4-4e31-90f1-d7ee251c0b62"	"718780c8-8481-4b25-a2db-e8ef99fde458"
"dcdcf043-acfa-4211-9dd7-f5a479f94cd6"	"9da238f4-b8d9-4b40-ba17-d212ef0e0be5"
"fea15246-df5f-4852-94a2-dad0f8c02b24"	"0d706a0d-3561-4bd3-a670-0bc5eb583a0f"
"b8c8fc83-2714-4f30-8ded-3b87578afc7c"	"b3db0d5c-2250-432c-b9a5-dfdbd5a11922"
"0aae72b6-ab93-4d4c-9fd8-264e3394d32c"	"a03c0f58-826d-42c2-88ae-0a31f7fcf5db"
